Honorific,Name,Office Type,Department,Suite,Street,City,Province,Country,Postal Code,Email Address,Telephone,Fax
,Anand  Deepak ,Constituency,,Suite 203,7045 Edwards Boulevard,Mississauga,Ontario,Canada,L5S 1X2,deepak.anandco@pc.ola.org,Tel:  905-696-0367,Fax:  905-696-7545
,Armstrong  Teresa ,Constituency,, ,155 Clarke Road,London,Ontario,Canada,N5W 5C9,tarmstrong-co@ndp.on.ca,Tel:  519-668-1104,Fax:  519-668-1941
Hon.,Arnott  Ted ,Constituency,, ,181 St. Andrew Street East  2nd Floor,Fergus,Ontario,Canada,N1M 1P9,ted.arnottco@pc.ola.org,Toll Free:  1-800-265-2366,Fax:  519-787-5249
,Arthur  Ian ,Constituency,,Suite 2,303 Bagot Street The LaSalle Mews,Kingston,Ontario,Canada,K7K 5W7,IArthur-CO@ndp.on.ca,Tel:  613-547-2385,Fax:  613-547-5001
,Baber  Roman ,Constituency,, ,539 Wilson Heights Boulevard,Downsview,Ontario,Canada,M3H 2V7,roman.baberco@pc.ola.org,Tel:  416-630-0080,Fax:  416-630-8828
,Babikian  Aris ,Constituency,,Unit 3,2245 Kennedy Road,Scarborough,Ontario,Canada,M1T 3G8,aris.babikianco@pc.ola.org,Tel:  416-297-6568,Fax:  416-297-4962
,Bailey  Robert ,Constituency,,Suite 102,805 Christina Street North,Point Edward,Ontario,Canada,N7V 1X6,bob.baileyco@pc.ola.org,Tel:  519-337-0051,Fax:  519-337-3246
,Barrett  Toby ,Constituency,, ,39 Norfolk Street North,Simcoe,Ontario,Canada,N3Y 3N6,,Tel:  519-428-0446,Fax:  519-428-0835
,Bell  Jessica ,Constituency,,Unit 103,719 Bloor Street West,Toronto,Ontario,Canada,M5G 1K5,JBell-QP@ndp.on.ca,Tel:  416-535-7206,
,Berns-McGown  Rima ,Constituency,, ,1821 Danforth Avenue,Toronto,Ontario,Canada,M4C 1J2,RBerns-McGown-CO@ndp.on.ca,Tel:  416-690-1032,Fax:  416-690-8420
Hon.,Bethlenfalvy  Peter ,Constituency,,Unit 7,300 Kingston Road,Pickering,Ontario,Canada,L1V 6Z9,peter.bethlenfalvyco@pc.ola.org,Tel:  905-509-0336,Fax:  905-509-0334
,Bisson  Gilles ,Constituency,,Suite 202,60 Wilson Avenue,Timmins,Ontario,Canada,P4N 2S7,gbisson@ndp.on.ca,Toll Free:  1-800-461-9878  Tel:  705-268-6400,Fax:  705-266-9125
,Bouma  Will ,Constituency,,Suite 101,96 Nelson Street,Brantford,Ontario,Canada,N3T 2N1,will.bouma@pc.ola.org,Tel:  519-759-0361,Fax:  519-759-6439
,Bourgouin  Guy ,Constituency,, ,28 Circle Street,Kapuskasing,Ontario,Canada,P5N 1T7,GBourgouin-QP@ndp.on.ca,Tel:  705-335-6400,Fax:  705-337-6869
,Burch  Jeff ,Constituency,,Unit 102,60 King Street,Welland,Ontario,Canada,L3B 6A4,JBurch-CO@ndp.on.ca,Tel:  905-732-6884,Fax:  905-732-9782
,Calandra  Paul ,Constituency,,Suite 400,37 Sandiford Drive,Stouffville,Ontario,Canada,L4A 3Z2,,Toll Free:  866-531-9551  Tel:  905-642-2588,Fax:  905-642-1618
Hon.,Cho  Raymond Sung Joon ,Constituency,,Unit B,4559 Sheppard Avenue East,Scarborough,Ontario,Canada,M1S 1V3,raymond.choco@pc.ola.org,Tel:  416-297-5040,Fax:  416-297-6767
,Cho  Stan ,Constituency,, ,111 Sheppard Avenue West,North York,Ontario,Canada,M2N 1M7,,Tel:  416-733-7878,Fax:  416-733-7709
Hon.,Clark  Steve ,Constituency,,Suite 101,100 Strowger Boulevard,Brockville,Ontario,Canada,K6V 5J9,,Toll Free:  1-800-267-4408  Tel:  613-342-9522,Fax:  613-342-2501
,Coe  Lorne ,Constituency,,Suite 101,114 Dundas Street East,Whitby,Ontario,Canada,L1N 2H7,lorne.coeco@pc.ola.org,Tel:  905-430-1141,Fax:  905-430-1840
,Coteau  Michael ,Constituency,,Suite L02,1200 Lawrence Avenue East,Toronto,Ontario,Canada,M3A 1C1,mcoteau.mpp.co@liberal.ola.org,Tel:  416-494-6856,Fax:  416-494-9937
,Crawford  Stephen ,Constituency,,Unit 2,2318 Lakeshore Road West,Oakville,Ontario,Canada,L6L 1H3,stephen.crawfordco@pc.ola.org,Tel:  905-827-5141,Fax:  905-827-3786
,Cuzzetto  Rudy ,Constituency,,Unit 1 &amp; 2,120 Lakeshore Road West,Mississauga,Ontario,Canada,L5H 1E8,rudy.cuzzettoco@pc.ola.org,Tel:  905-274-8228,Fax:  905-274-8552
,Des Rosiers  Nathalie ,Constituency,, ,237 Montreal Road,Vanier,Ontario,Canada,K1L 6C7,NDesRosiers.mpp.CO@liberal.ola.org,Tel:  613-744-4484,Fax:  613-744-0889
,Downey  Doug ,Constituency,,Unit 14,20 Bell Farm Road,Barrie,Ontario,Canada,L4M 6E4,doug.downeyco@pc.ola.org,Tel:  705-726-5538,Fax:  705-726-2880
,Dunlop  Jill ,Constituency,,Unit 108,210 Memorial Avenue,Orillia,Ontario,Canada,L3V 7V1,jill.dunlopco@pc.ola.org,Tel:  705-326-3246,Fax:  705-326-9579
,Dunlop  Jill ,Constituency,,Unit 6,295 King Street  TD Canada Trust Bank Plaza,Midland,Ontario,Canada,L4R 3M5,,Tel:  705-526-8671,Fax:  705-526-8600
Hon.,Elliott  Christine ,Constituency,,Suite 203,238 Wellington Street East,Aurora,Ontario,Canada,L4G 1J5,christine.elliottco@pc.ola.org,Tel:  905-750-0019,Fax:  905-750-0050
Hon.,Fedeli  Victor ,Constituency,, ,165 Main Street East,North Bay,Ontario,Canada,P1B 1A9,vic.fedelico@pc.ola.org,Tel:  705-474-8340,Fax:  705-474-9747
,Fife  Catherine ,Constituency,,Suite 220,100 Regina Street South,Waterloo,Ontario,Canada,N2J 4P9,cfife-co@ndp.on.ca,Tel:  519-725-3477,Fax:  519-725-3667
Hon.,Ford  Doug ,Constituency,, ,823 Albion Road,Etobicoke,Ontario,Canada,M9V 1A3,doug.fordco@pc.ola.org,Tel:  416-745-2859,Fax:  416-745-4601
,Fraser  John ,Constituency,, ,1828 Bank Street,Ottawa,Ontario,Canada,K1V 7Y6,Jfraser.mpp.co@liberal.ola.org,Tel:  613-736-9573,Fax:  613-736-7374
,French  Jennifer ,Constituency,,Unit 2,78 Centre Street North,Oshawa,Ontario,Canada,L1G 4B6,JFrench-CO@ndp.on.ca,Tel:  905-723-2411,Fax:  905-723-1054
Hon.,Fullerton  Merrilee ,Constituency,,Suite 100,240 Michael Cowpland Drive,Kanata,Ontario,Canada,K2M 1P6,,Tel:  613-599-3000,Fax:  613-599-8183
,Gates  Wayne ,Constituency,, ,265 High Street  Douglas Heights Seniors Centre,Fort Erie,Ontario,Canada,L2A 3R4,wgates-co@ndp.on.ca,Tel:  905-871-8868,Fax:  905-871-4717
,Gates  Wayne ,Constituency,,Unit 1,6746 Morrison Street,Niagara Falls,Ontario,Canada,L2E 6Z8,wgates-co@ndp.on.ca,Tel:  905-357-0681,Fax:  905-357-9456
,Gélinas  France ,Constituency,Hanmer Valley Shopping Plaza,Suite 15,5085 Highway 69 North,Hanmer,Ontario,Canada,P3P 1P7,fgelinas-co@ndp.on.ca,Tel:  705-969-3621,Fax:  705-969-3538
,Gill  Parm ,Constituency,,Unit 115,450 Bronte Street South,Milton,Ontario,Canada,L9T 5B7,parm.gillco@pc.ola.org,Tel:  905-878-1729,Fax:  905-878-5144
,Glover  Chris ,Constituency,,Unit A,226 Bathurst Street,Toronto,Ontario,Canada,M5T 2R9,CGlover-CO@ndp.on.ca,Tel:  416-603-9664,Fax:  416-603-1214
,Gravelle  Michael ,Constituency,, ,179 Algoma Street South,Thunder Bay,Ontario,Canada,P7B 3C1,mgravelle.mpp.co@liberal.ola.org,Tel:  807-345-3647,Fax:  807-345-2922
,Gretzky  Lisa ,Constituency,,Unit 5,321 Tecumseh Road East,Windsor,Ontario,Canada,N8X 2R5,LGretzky-CO@ndp.on.ca,Tel:  519-977-7191,Fax:  519-977-7029
Hon.,Hardeman  Ernie ,Constituency,, ,12 Perry Street  2nd Floor,Woodstock,Ontario,Canada,N4S 3C2,ernie.hardemanco@pc.ola.org,Toll Free:  1-800-265-4046  Tel:  519-537-5222,Fax:  519-537-3577
,Harden  Joel ,Constituency,, ,109 Catherine Street,Ottawa,Ontario,Canada,K2P 0P4,JHarden-CO@ndp.on.ca,Tel:  613-722-6414,Fax:  613-722-6703
,Harris  Mike ,Constituency,,Unit 3 &amp; 4,63 Arthur Street South,Elmira,Ontario,Canada,N3B 2M6,mike.harrisco@pc.ola.org,Tel:  519-669-2090,Fax:  519-669-0476
,Hassan  Faisal ,Constituency,, ,1965 Weston Road,Toronto,Ontario,Canada,M9N 1W8,FHassan-CO@ndp.on.ca,Tel:  416-243-7984,Fax:  416-243-0327
,Hatfield  Percy ,Constituency,,Unit 1,5452 Tecumseh Road East,Windsor,Ontario,Canada,N8T 1C7,PHatfield-co@ndp.on.ca,Tel:  519-251-5199,Fax:  519-251-5299
,Hillier  Randy ,Constituency,,Unit 1,105 Dufferin Street,Perth,Ontario,Canada,K7H 3A5,randy.hillierco@pc.ola.org,Tel:  613-267-8239,Fax:  613-267-7398
,Hogarth  Christine ,Constituency,, ,933 The Queensway,Etobicoke,Ontario,Canada,M8Z 1P3,christine.hogarthco@pc.ola.org,Tel:  416-259-2249,Fax:  416-259-3704
,Horwath  Andrea ,Constituency,,Suite 200,20 Hughson Street South,Hamilton,Ontario,Canada,L8N 2A1,ahorwath-co@ndp.on.ca,Tel:  905-544-9644,Fax:  905-544-5152
,Hunter  Mitzie ,Constituency,,Unit 109,4117 Lawrence Avenue East,Toronto,Ontario,Canada,M1E 2S2,mhunter.mpp.co@liberal.ola.org,Tel:  416-281-2787,Fax:  416-281-2360
