Honorific,Name,Office Type,Department,Suite,Street,City,Province,Country,Postal Code,Email Address,Telephone,Fax
,Bailey  Robert ,Ministry,Ministry of Government and Consumer Services, ,77 Wellesley Street West  Floor  Ferguson Block,Toronto,Ontario,Canada,M7A 1N3,bob.bailey@pc.ola.org,,
,Barrett  Toby ,Ministry,Natural Resources and Forestry,Room 6522,99 Wellesley Street West  Whitney Block,Toronto,Ontario,Canada,M7A 1W3,toby.barrett@pc.ola.org,,
Hon.,Bethlenfalvy  Peter ,Ministry,Treasury Board Secretariat,Room 4320,99 Wellesley Street West  Floor  Whitney Block,Toronto,Ontario,Canada,M7A 1W3,peter.bethlenfalvy@pc.ola.org,Tel:  416-327-2333,
,Calandra  Paul ,Ministry,Ministry of Energy, ,77 Wellesley Street West  12th Floor  Ferguson Block,Toronto,Ontario,Canada,M7A 2E1,paul.calandra@pc.ola.org,,
Hon.,Cho  Raymond Sung Joon ,Ministry,Ministry for Seniors and Accessibility, ,7 Queen's Park Crescent  6th Floor  Frost Building South,Toronto,Ontario,Canada,M7A 1Y7,raymond.cho@pc.ola.org,Tel:  416-325-9100,Fax:  416-325-9141
,Cho  Stan ,Ministry,Treasury Board Secretariat,Room 6521,99 Wellesley Street West  Floor  Whitney Block,Toronto,Ontario,Canada,M7A 1A1,stan.cho@pc.ola.org,,
Hon.,Clark  Steve ,Ministry,Ministry of Municipal Affairs and Housing, ,777 Bay Street  Floor,Toronto,Ontario,Canada,M5G 2E5,steve.clark@pc.ola.org,Tel:  416-585-7000,
,Downey  Doug ,Ministry,Ministry of Finance, ,7 Queen's Park Crescent  7th Floor  Frost Building South,Toronto,Ontario,Canada,M7A 1Y7,doug.downey@pc.ola.org,,
Hon.,Elliott  Christine ,Ministry,Ministry of Health and Long-Term Care, ,80 Grosvenor Street  Floor  Hepburn Block,Toronto,Ontario,Canada,M7A 1E9,christine.elliott@pc.ola.org,,Fax:  416-326-1571
Hon.,Fedeli  Victor ,Ministry,Ministry of Finance, ,7 Queen's Park Crescent  7th Floor  Frost Building South,Toronto,Ontario,Canada,M7A 1Y7,vic.fedeli@pc.ola.org,Tel:  416-314-6331,Fax:  416-325-3437
,Fee  Amy ,Ministry,Ministry of Children  Community and Social Services (Children and Autism), ,56 Wellesley Street West  14th Floor,Toronto,Ontario,Canada,M5S 2S3,amy.fee@pc.ola.org,Tel:  519-650-9413,Fax:  519-650-7006
