Honorific,Name,Office Type,Department,Suite,Street,City,Province,Country,Postal Code,Email Address,Telephone,Fax
,Anand  Deepak ,Queen's Park,,Room 313,Legislative Building  Queen's Park,Toronto,Ontario,Canada,M7A 1A8,deepak.anand@pc.ola.org,Tel:  416-326-7528,Fax:  416-326-7504
,Anand  Deepak ,Constituency,,Suite 203,7045 Edwards Boulevard,Mississauga,Ontario,Canada,L5S 1X2,deepak.anandco@pc.ola.org,Tel:  905-696-0367,Fax:  905-696-7545
,Andrew  Jill ,Queen's Park,,Room 115,Main Legislative Building  Queen's Park,Toronto,Ontario,Canada,M7A 1A5,JAndrew-QP@ndp.on.ca,Tel:  416-325-0071,Fax:  416-325-4728
,Armstrong  Teresa ,Queen's Park,,Room 159,Main Legislative Building  Queen's Park,Toronto,Ontario,Canada,M7A 1A5,tarmstrong-qp@ndp.on.ca,Tel:  416-325-1872,Fax:  416-325-1912
,Armstrong  Teresa ,Constituency,, ,155 Clarke Road,London,Ontario,Canada,N5W 5C9,tarmstrong-co@ndp.on.ca,Tel:  519-668-1104,Fax:  519-668-1941
Hon.,Arnott  Ted ,Queen's Park,,Room 180,Main Legislative Building  Queen's Park,Toronto,Ontario,Canada,M7A 1A2,ted.arnott@pc.ola.org,Tel:  416-325-3880,Fax:  416-325-6649
Hon.,Arnott  Ted ,Constituency,, ,181 St. Andrew Street East  2nd Floor,Fergus,Ontario,Canada,N1M 1P9,ted.arnottco@pc.ola.org,Toll Free:  1-800-265-2366,Fax:  519-787-5249
,Arthur  Ian ,Queen's Park,,Room 203,North Wing  Main Legislative Building  Queen's Park,Toronto,Ontario,Canada,M7A 1A8,IArthur-QP@ndp.on.ca,Tel:  416-325-0168 Tel:  519-787-5247,Fax:  416-325-0088
,Arthur  Ian ,Constituency,,Suite 2,303 Bagot Street The LaSalle Mews,Kingston,Ontario,Canada,K7K 5W7,IArthur-CO@ndp.on.ca,Tel:  613-547-2385,Fax:  613-547-5001
,Baber  Roman ,Queen's Park,,Room 472,Main Legislative Building Queen's Park,Toronto,Ontario,Canada,M7A 1A8,roman.baber@pc.ola.org,Tel:  416-326-7114,Fax:  416-326-7113
,Baber  Roman ,Constituency,, ,539 Wilson Heights Boulevard,Downsview,Ontario,Canada,M3H 2V7,roman.baberco@pc.ola.org,Tel:  416-630-0080,Fax:  416-630-8828
